"N225.Open","N225.High","N225.Low","N225.Close","N225.Volume","N225.Adjusted","Date"
1257.719971,1257.719971,1257.719971,1257.719971,0,1257.719971,"1965-01-05"
1263.98999,1263.98999,1263.98999,1263.98999,0,1263.98999,"1965-01-06"
1274.27002,1274.27002,1274.27002,1274.27002,0,1274.27002,"1965-01-07"
1286.430054,1286.430054,1286.430054,1286.430054,0,1286.430054,"1965-01-08"
NA,NA,NA,NA,NA,NA,"1965-01-11"
1288.540039,1288.540039,1288.540039,1288.540039,0,1288.540039,"1965-01-12"
1281.670044,1281.670044,1281.670044,1281.670044,0,1281.670044,"1965-01-13"
1289.5,1289.5,1289.5,1289.5,0,1289.5,"1965-01-14"
NA,NA,NA,NA,NA,NA,"1965-01-15"
1271.680054,1271.680054,1271.680054,1271.680054,0,1271.680054,"1965-01-18"
1270.339966,1270.339966,1270.339966,1270.339966,0,1270.339966,"1965-01-19"
1268.880005,1268.880005,1268.880005,1268.880005,0,1268.880005,"1965-01-20"
1270.459961,1270.459961,1270.459961,1270.459961,0,1270.459961,"1965-01-21"
1261.829956,1261.829956,1261.829956,1261.829956,0,1261.829956,"1965-01-22"
1249.719971,1249.719971,1249.719971,1249.719971,0,1249.719971,"1965-01-25"
1248.050049,1248.050049,1248.050049,1248.050049,0,1248.050049,"1965-01-26"
1258.209961,1258.209961,1258.209961,1258.209961,0,1258.209961,"1965-01-27"
1247.199951,1247.199951,1247.199951,1247.199951,0,1247.199951,"1965-01-28"
1242.27002,1242.27002,1242.27002,1242.27002,0,1242.27002,"1965-01-29"
1242.829956,1242.829956,1242.829956,1242.829956,0,1242.829956,"1965-02-01"
1238.75,1238.75,1238.75,1238.75,0,1238.75,"1965-02-02"
1248.030029,1248.030029,1248.030029,1248.030029,0,1248.030029,"1965-02-03"
1261.599976,1261.599976,1261.599976,1261.599976,0,1261.599976,"1965-02-04"
1263.589966,1263.589966,1263.589966,1263.589966,0,1263.589966,"1965-02-05"
1258.930054,1258.930054,1258.930054,1258.930054,0,1258.930054,"1965-02-08"
1251.680054,1251.680054,1251.680054,1251.680054,0,1251.680054,"1965-02-09"
1248.609985,1248.609985,1248.609985,1248.609985,0,1248.609985,"1965-02-10"
NA,NA,NA,NA,NA,NA,"1965-02-11"
1257.939941,1257.939941,1257.939941,1257.939941,0,1257.939941,"1965-02-12"
1249.5,1249.5,1249.5,1249.5,0,1249.5,"1965-02-15"
1247.01001,1247.01001,1247.01001,1247.01001,0,1247.01001,"1965-02-16"
1237.079956,1237.079956,1237.079956,1237.079956,0,1237.079956,"1965-02-17"
1241.410034,1241.410034,1241.410034,1241.410034,0,1241.410034,"1965-02-18"
1237.349976,1237.349976,1237.349976,1237.349976,0,1237.349976,"1965-02-19"
1224.819946,1224.819946,1224.819946,1224.819946,0,1224.819946,"1965-02-22"
1223.589966,1223.589966,1223.589966,1223.589966,0,1223.589966,"1965-02-23"
1219.099976,1219.099976,1219.099976,1219.099976,0,1219.099976,"1965-02-24"
1216.709961,1216.709961,1216.709961,1216.709961,0,1216.709961,"1965-02-25"
1213.069946,1213.069946,1213.069946,1213.069946,0,1213.069946,"1965-02-26"
1206.47998,1206.47998,1206.47998,1206.47998,0,1206.47998,"1965-03-01"
1202.540039,1202.540039,1202.540039,1202.540039,0,1202.540039,"1965-03-02"
1207.819946,1207.819946,1207.819946,1207.819946,0,1207.819946,"1965-03-03"
