"NYA.Open","NYA.High","NYA.Low","NYA.Close","NYA.Volume","NYA.Adjusted","Date"
528.690002,528.690002,528.690002,528.690002,0,528.690002,"1965-12-31"
527.210022,527.210022,527.210022,527.210022,0,527.210022,"1966-01-03"
527.840027,527.840027,527.840027,527.840027,0,527.840027,"1966-01-04"
531.119995,531.119995,531.119995,531.119995,0,531.119995,"1966-01-05"
532.070007,532.070007,532.070007,532.070007,0,532.070007,"1966-01-06"
532.599976,532.599976,532.599976,532.599976,0,532.599976,"1966-01-07"
533.869995,533.869995,533.869995,533.869995,0,533.869995,"1966-01-10"
534.289978,534.289978,534.289978,534.289978,0,534.289978,"1966-01-11"
533.340027,533.340027,533.340027,533.340027,0,533.340027,"1966-01-12"
534.400024,534.400024,534.400024,534.400024,0,534.400024,"1966-01-13"
535.450012,535.450012,535.450012,535.450012,0,535.450012,"1966-01-14"
537.460022,537.460022,537.460022,537.460022,0,537.460022,"1966-01-17"
538.940002,538.940002,538.940002,538.940002,0,538.940002,"1966-01-18"
537.669983,537.669983,537.669983,537.669983,0,537.669983,"1966-01-19"
535.669983,535.669983,535.669983,535.669983,0,535.669983,"1966-01-20"
535.97998,535.97998,535.97998,535.97998,0,535.97998,"1966-01-21"
537.669983,537.669983,537.669983,537.669983,0,537.669983,"1966-01-24"
538.099976,538.099976,538.099976,538.099976,0,538.099976,"1966-01-25"
537.570007,537.570007,537.570007,537.570007,0,537.570007,"1966-01-26"
537.359985,537.359985,537.359985,537.359985,0,537.359985,"1966-01-27"
535.669983,535.669983,535.669983,535.669983,0,535.669983,"1966-01-28"
533.340027,533.340027,533.340027,533.340027,0,533.340027,"1966-01-31"
529.109985,529.109985,529.109985,529.109985,0,529.109985,"1966-02-01"
531.440002,531.440002,531.440002,531.440002,0,531.440002,"1966-02-02"
532.070007,532.070007,532.070007,532.070007,0,532.070007,"1966-02-03"
535.450012,535.450012,535.450012,535.450012,0,535.450012,"1966-02-04"
537.25,537.25,537.25,537.25,0,537.25,"1966-02-07"
536.830017,536.830017,536.830017,536.830017,0,536.830017,"1966-02-08"
539.890015,539.890015,539.890015,539.890015,0,539.890015,"1966-02-09"
538.409973,538.409973,538.409973,538.409973,0,538.409973,"1966-02-10"
