"NZ50.Open","NZ50.High","NZ50.Low","NZ50.Close","NZ50.Volume","NZ50.Adjusted","Date"
1954.959961,1954.959961,1954.959961,1954.959961,0,1954.959961,"2003-01-02"
1981.099976,1981.099976,1981.099976,1981.099976,0,1981.099976,"2003-01-05"
1992.420044,1992.420044,1992.420044,1992.420044,0,1992.420044,"2003-01-06"
1987.98999,1987.98999,1987.98999,1987.98999,0,1987.98999,"2003-01-07"
1984.449951,1984.449951,1984.449951,1984.449951,0,1984.449951,"2003-01-08"
1998.910034,1998.910034,1998.910034,1998.910034,0,1998.910034,"2003-01-09"
2006.140015,2006.140015,2006.140015,2006.140015,0,2006.140015,"2003-01-12"
2003.550049,2003.550049,2003.550049,2003.550049,0,2003.550049,"2003-01-13"
2014.829956,2014.829956,2014.829956,2014.829956,0,2014.829956,"2003-01-14"
2008.930054,2008.930054,2008.930054,2008.930054,0,2008.930054,"2003-01-15"
2004.410034,2004.410034,2004.410034,2004.410034,0,2004.410034,"2003-01-16"
1985.98999,1985.98999,1985.98999,1985.98999,0,1985.98999,"2003-01-19"
1979.780029,1979.780029,1979.780029,1979.780029,0,1979.780029,"2003-01-20"
1973.609985,1973.609985,1973.609985,1973.609985,0,1973.609985,"2003-01-21"
1981.560059,1981.560059,1981.560059,1981.560059,0,1981.560059,"2003-01-22"
1989.27002,1989.27002,1989.27002,1989.27002,0,1989.27002,"2003-01-23"
1984.719971,1984.719971,1984.719971,1984.719971,0,1984.719971,"2003-01-26"
1973.51001,1973.51001,1973.51001,1973.51001,0,1973.51001,"2003-01-27"
1975.670044,1975.670044,1975.670044,1975.670044,0,1975.670044,"2003-01-28"
1962.819946,1962.819946,1962.819946,1962.819946,0,1962.819946,"2003-01-29"
1953.219971,1953.219971,1953.219971,1953.219971,0,1953.219971,"2003-01-30"
1958.449951,1958.449951,1958.449951,1958.449951,0,1958.449951,"2003-02-02"
1975.579956,1975.579956,1975.579956,1975.579956,0,1975.579956,"2003-02-03"
1949.569946,1949.569946,1949.569946,1949.569946,0,1949.569946,"2003-02-04"
NA,NA,NA,NA,NA,NA,"2003-02-05"
1927.880005,1927.880005,1927.880005,1927.880005,0,1927.880005,"2003-02-06"
1946.599976,1946.599976,1946.599976,1946.599976,0,1946.599976,"2003-02-09"
1958.619995,1958.619995,1958.619995,1958.619995,0,1958.619995,"2003-02-10"
1937.540039,1937.540039,1937.540039,1937.540039,0,1937.540039,"2003-02-11"
1923.050049,1923.050049,1923.050049,1923.050049,0,1923.050049,"2003-02-12"
1920.930054,1920.930054,1920.930054,1920.930054,0,1920.930054,"2003-02-13"
1946.920044,1946.920044,1946.920044,1946.920044,0,1946.920044,"2003-02-16"
1947.030029,1947.030029,1947.030029,1947.030029,0,1947.030029,"2003-02-17"
1952.27002,1952.27002,1952.27002,1952.27002,0,1952.27002,"2003-02-18"
1936.089966,1936.089966,1936.089966,1936.089966,0,1936.089966,"2003-02-19"
1916.290039,1916.290039,1916.290039,1916.290039,0,1916.290039,"2003-02-20"
1905.819946,1905.819946,1902.869995,1902.869995,0,1902.869995,"2003-02-23"
1902.530029,1902.530029,1869.719971,1869.719971,0,1869.719971,"2003-02-24"
1870.060059,1873.930054,1870.060059,1873.930054,0,1873.930054,"2003-02-25"
1874.22998,1875.449951,1871.380005,1875.449951,0,1875.449951,"2003-02-26"
1875.449951,1880.849976,1875.449951,1880.849976,0,1880.849976,"2003-02-27"
1880.849976,1886.119995,1879.52002,1886.119995,0,1886.119995,"2003-03-02"
1886.119995,1902.170044,1882.52002,1901.390015,0,1901.390015,"2003-03-03"
1901.390015,1910.329956,1893.599976,1910.329956,0,1910.329956,"2003-03-04"
1910.329956,1917.219971,1900.76001,1909.959961,0,1909.959961,"2003-03-05"
1909.959961,1912.650024,1899.619995,1902.48999,0,1902.48999,"2003-03-06"
1902.48999,1908.780029,1897.23999,1907.52002,0,1907.52002,"2003-03-09"
1907.52002,1907.52002,1895.189941,1901.859985,0,1901.859985,"2003-03-10"
1901.859985,1908.060059,1892.72998,1893.579956,0,1893.579956,"2003-03-11"
1893.579956,1893.579956,1869.890015,1872.949951,0,1872.949951,"2003-03-12"
1872.949951,1900.650024,1872.949951,1898.449951,0,1898.449951,"2003-03-13"
1898.449951,1900.01001,1884.920044,1888.790039,0,1888.790039,"2003-03-16"
1888.790039,1913.579956,1888.790039,1912.02002,0,1912.02002,"2003-03-17"
1912.02002,1912.02002,1895.859985,1895.859985,0,1895.859985,"2003-03-18"
1895.859985,1905.459961,1894.079956,1902.069946,0,1902.069946,"2003-03-19"
1902.069946,1910.599976,1898.699951,1908.030029,0,1908.030029,"2003-03-20"
1908.030029,1919.569946,1908.030029,1916.439941,0,1916.439941,"2003-03-23"
1916.439941,1916.439941,1897.25,1905.410034,0,1905.410034,"2003-03-24"
1905.410034,1911.099976,1901.140015,1908.160034,0,1908.160034,"2003-03-25"
1908.160034,1915.560059,1899.619995,1914.079956,0,1914.079956,"2003-03-26"
1914.079956,1921.469971,1908.439941,1919.22998,0,1919.22998,"2003-03-27"
1919.22998,1934.619995,1909.060059,1931.609985,0,1931.609985,"2003-03-30"
1931.609985,1931.609985,1914.670044,1924.77002,0,1924.77002,"2003-03-31"
1924.77002,1942.819946,1924.380005,1933.599976,0,1933.599976,"2003-04-01"
1933.599976,1943.77002,1925.26001,1931.609985,0,1931.609985,"2003-04-02"
1931.609985,1947.52002,1925.199951,1945.97998,0,1945.97998,"2003-04-03"
1945.97998,1978.310059,1945.819946,1975.589966,0,1975.589966,"2003-04-06"
1975.589966,1983.660034,1972.060059,1972.060059,0,1972.060059,"2003-04-07"
1972.060059,1976.170044,1967.390015,1974.530029,0,1974.530029,"2003-04-08"
1974.530029,1974.530029,1942.150024,1947.300049,0,1947.300049,"2003-04-09"
1947.300049,1961.709961,1946.290039,1959.829956,0,1959.829956,"2003-04-10"
1959.829956,1987.579956,1959.829956,1981.719971,0,1981.719971,"2003-04-13"
1981.719971,2006.119995,1981.719971,2006.119995,0,2006.119995,"2003-04-14"
2006.119995,2006.160034,1977.52002,1981.420044,0,1981.420044,"2003-04-15"
1981.420044,1983.410034,1970.329956,1970.329956,0,1970.329956,"2003-04-16"
NA,NA,NA,NA,NA,NA,"2003-04-17"
NA,NA,NA,NA,NA,NA,"2003-04-20"
1970.329956,1974.939941,1964.349976,1964.439941,0,1964.439941,"2003-04-21"
1964.439941,1983.660034,1964.439941,1978.890015,0,1978.890015,"2003-04-22"
1978.890015,2002.75,1978.890015,1994.359985,0,1994.359985,"2003-04-23"
NA,NA,NA,NA,NA,NA,"2003-04-24"
1994.359985,1994.359985,1973.51001,1973.630005,0,1973.630005,"2003-04-27"
1973.630005,1995.310059,1973.630005,1993.040039,0,1993.040039,"2003-04-28"
1993.040039,2015.109985,1992.339966,2013.310059,0,2013.310059,"2003-04-29"
2013.310059,2013.48999,1995.880005,1999.439941,0,1999.439941,"2003-04-30"
1999.439941,1999.439941,1953.119995,1955.449951,0,1955.449951,"2003-05-01"
1955.449951,1963.290039,1950.180054,1960.420044,0,1960.420044,"2003-05-04"
1960.420044,1979.75,1959.060059,1977.869995,0,1977.869995,"2003-05-05"
1977.869995,1989.099976,1976.459961,1978.060059,0,1978.060059,"2003-05-06"
1978.060059,1981.23999,1964.77002,1977.859985,0,1977.859985,"2003-05-07"
1977.859985,1990.209961,1970.430054,1979.430054,0,1979.430054,"2003-05-08"
1979.430054,2003.839966,1979.430054,2000.410034,0,2000.410034,"2003-05-11"
2000.410034,2013.060059,2000.410034,2009.77002,0,2009.77002,"2003-05-12"
2009.77002,2019.369995,2004.959961,2017.280029,0,2017.280029,"2003-05-13"
2017.280029,2023.26001,2010.859985,2019.01001,0,2019.01001,"2003-05-14"
2019.01001,2021.77002,2013.01001,2020.099976,0,2020.099976,"2003-05-15"
2020.099976,2023.23999,2008.660034,2009.630005,0,2009.630005,"2003-05-18"
2009.630005,2013.47998,1997.650024,2009.609985,0,2009.609985,"2003-05-19"
2009.609985,2022.930054,2000.680054,2013.219971,0,2013.219971,"2003-05-20"
2013.219971,2040.359985,2013.219971,2033.119995,0,2033.119995,"2003-05-21"
2033.119995,2044.77002,2033.119995,2044.77002,0,2044.77002,"2003-05-22"
2044.77002,2052.179932,2044.459961,2048.01001,0,2048.01001,"2003-05-25"
2048.01001,2059.280029,2048.01001,2058.659912,0,2058.659912,"2003-05-26"
2058.659912,2072.77002,2058.659912,2064.52002,0,2064.52002,"2003-05-27"
2064.52002,2085.379883,2060.840088,2084.76001,0,2084.76001,"2003-05-28"
2084.76001,2091.600098,2077.929932,2087.060059,0,2087.060059,"2003-05-29"
NA,NA,NA,NA,NA,NA,"2003-06-01"
2087.060059,2093.399902,2084.149902,2089.629883,0,2089.629883,"2003-06-02"
2089.629883,2089.629883,2077.26001,2083.320068,0,2083.320068,"2003-06-03"
2083.320068,2105.449951,2083.320068,2101.77002,0,2101.77002,"2003-06-04"
2101.77002,2112.169922,2101.77002,2108.919922,0,2108.919922,"2003-06-05"
2108.919922,2112.409912,2101.820068,2109.399902,0,2109.399902,"2003-06-08"
2109.399902,2114.610107,2108.320068,2112.080078,0,2112.080078,"2003-06-09"
2112.080078,2112.080078,2104.580078,2105.870117,0,2105.870117,"2003-06-10"
2105.870117,2116.629883,2105.870117,2113.290039,0,2113.290039,"2003-06-11"
2113.290039,2125.310059,2113.290039,2121.48999,0,2121.48999,"2003-06-12"
2121.48999,2141.570068,2118.610107,2140.51001,0,2140.51001,"2003-06-15"
2140.51001,2171.76001,2140.51001,2167.149902,0,2167.149902,"2003-06-16"
2167.149902,2169.899902,2161.320068,2169.72998,0,2169.72998,"2003-06-17"
2169.72998,2180.679932,2167.860107,2180.379883,0,2180.379883,"2003-06-18"
2180.379883,2188.300049,2172.959961,2188.300049,0,2188.300049,"2003-06-19"
2188.300049,2189.659912,2180.600098,2184.899902,0,2184.899902,"2003-06-22"
2184.899902,2184.899902,2160.699951,2167.959961,0,2167.959961,"2003-06-23"
2167.959961,2172.709961,2166.320068,2169.840088,0,2169.840088,"2003-06-24"
2169.840088,2169.840088,2159.139893,2165.419922,0,2165.419922,"2003-06-25"
2165.419922,2173.669922,2163.830078,2172.469971,0,2172.469971,"2003-06-26"
2172.469971,2212.610107,2165.709961,2212.52002,0,2212.52002,"2003-06-29"
2212.52002,2212.52002,2182.399902,2186.209961,0,2186.209961,"2003-06-30"
2186.219971,2197.98999,2185.76001,2196.070068,0,2196.070068,"2003-07-01"
2196.070068,2200.100098,2187.5,2192.340088,0,2192.340088,"2003-07-02"
2192.340088,2192.340088,2176.129883,2181.530029,0,2181.530029,"2003-07-03"
2181.530029,2181.530029,2168.97998,2171.25,0,2171.25,"2003-07-06"
2171.25,2186.01001,2150.419922,2157.040039,0,2157.040039,"2003-07-07"
2157.040039,2157.040039,2129.419922,2131.810059,0,2131.810059,"2003-07-08"
2131.810059,2133.350098,2124.389893,2129.209961,0,2129.209961,"2003-07-09"
2129.209961,2133.169922,2127.790039,2131.669922,0,2131.669922,"2003-07-10"
2131.669922,2139.080078,2129.090088,2135.290039,0,2135.290039,"2003-07-13"
2135.290039,2139.629883,2131.030029,2131.840088,0,2131.840088,"2003-07-14"
2131.840088,2131.840088,2104.280029,2104.280029,0,2104.280029,"2003-07-15"
2104.280029,2106.080078,2094.820068,2104.98999,0,2104.98999,"2003-07-16"
2104.98999,2110.570068,2092.719971,2110.370117,0,2110.370117,"2003-07-17"
2110.370117,2137.060059,2110.370117,2137.060059,0,2137.060059,"2003-07-20"
2137.060059,2137.060059,2124.02002,2130.399902,0,2130.399902,"2003-07-21"
2130.399902,2149.929932,2130.399902,2149.929932,0,2149.929932,"2003-07-22"
2149.929932,2168.649902,2149.929932,2163.25,0,2163.25,"2003-07-23"
2163.25,2170.820068,2160.790039,2169.47998,0,2169.47998,"2003-07-24"
2169.47998,2187.469971,2169.330078,2172.120117,0,2172.120117,"2003-07-27"
2172.120117,2172.25,2156.850098,2157.860107,0,2157.860107,"2003-07-28"
2157.860107,2160.800049,2141.189941,2146.97998,0,2146.97998,"2003-07-29"
2146.97998,2158.780029,2146.350098,2146.350098,0,2146.350098,"2003-07-30"
2146.350098,2158.820068,2144.629883,2157.840088,0,2157.840088,"2003-07-31"
2157.840088,2160.860107,2153.699951,2159.409912,0,2159.409912,"2003-08-03"
2159.409912,2179.659912,2159.409912,2176.879883,0,2176.879883,"2003-08-04"
