"GSPTSE.Open","GSPTSE.High","GSPTSE.Low","GSPTSE.Close","GSPTSE.Volume","GSPTSE.Adjusted","Date"
1614.699951,1619.800049,1614.699951,1618.400024,0,1614.290039,"1979-06-29"
1618.400024,1619.800049,1614.699951,1618.400024,0,1614.290039,"1979-07-02"
1613.599976,1613.599976,1601.699951,1602.800049,0,1598.729858,"1979-07-03"
1601.5,1601.5,1589.5,1591.400024,0,1587.358765,"1979-07-04"
1590,1590,1582.5,1583.900024,0,1579.877686,"1979-07-05"
1583.900024,1586.599976,1578.300049,1586.599976,0,1582.570923,"1979-07-06"
1586.599976,1588.5,1585.5,1586.300049,0,1582.271606,"1979-07-09"
1584.900024,1584.900024,1579,1580.199951,0,1576.187012,"1979-07-10"
1576.800049,1576.800049,1560.900024,1563.199951,0,1559.230347,"1979-07-11"
1561.5,1561.5,1533.199951,1533.699951,0,1529.805176,"1979-07-12"
1533.699951,1538.099976,1520.599976,1537.400024,0,1533.49585,"1979-07-13"
1539.800049,1551.699951,1539.800049,1551.599976,0,1547.659668,"1979-07-16"
1554.599976,1563.099976,1554.599976,1560.900024,0,1556.936157,"1979-07-17"
1557.099976,1557.099976,1547.300049,1550.800049,0,1546.861816,"1979-07-18"
1550.800049,1554.300049,1548.300049,1552.400024,0,1548.457886,"1979-07-19"
1552.400024,1557.5,1550.599976,1557.5,0,1553.5448,"1979-07-20"
1553.099976,1553.099976,1544.400024,1546,0,1542.073975,"1979-07-23"
1546,1549.5,1545.400024,1547.099976,0,1543.171143,"1979-07-24"
1548.400024,1557.199951,1548.400024,1556.800049,0,1552.846558,"1979-07-25"
1557.400024,1570,1557.400024,1570,0,1566.013062,"1979-07-26"
1572.199951,1578,1572.199951,1578,0,1573.992798,"1979-07-27"
1575.699951,1575.699951,1568.099976,1568.099976,0,1564.117798,"1979-07-30"
1564.599976,1564.599976,1558.099976,1558.099976,0,1554.143066,"1979-07-31"
1558.099976,1558.5,1554,1558.099976,0,1554.143066,"1979-08-01"
1560.300049,1563.900024,1560.300049,1560.900024,0,1556.936157,"1979-08-02"
1560.900024,1561.5,1556.800049,1557.800049,0,1553.844116,"1979-08-03"
1557.800049,1557.800049,1557.800049,1557.800049,0,1553.844116,"1979-08-06"
1557.800049,1559.5,1555.199951,1555.900024,0,1551.948853,"1979-08-07"
1555.900024,1567.099976,1553.099976,1565.199951,0,1561.225098,"1979-08-08"
1565.199951,1571.400024,1564.5,1566.5,0,1562.521851,"1979-08-09"
1567.900024,1576,1567.900024,1575,0,1571.000244,"1979-08-10"
1575.5,1582.099976,1575.5,1582.099976,0,1578.082275,"1979-08-13"
1582.099976,1584.699951,1578.699951,1584.300049,0,1580.276733,"1979-08-14"
1587.099976,1600.699951,1587.099976,1600.699951,0,1596.635132,"1979-08-15"
1605.699951,1611.099976,1605.699951,1606.900024,0,1602.819336,"1979-08-16"
1608.300049,1620.199951,1608.300049,1619.199951,0,1615.088013,"1979-08-17"
1623.699951,1640.699951,1623.699951,1640.699951,0,1636.533447,"1979-08-20"
1645.900024,1657.699951,1645.900024,1657.300049,0,1653.091431,"1979-08-21"
1660.300049,1666,1660.300049,1665.199951,0,1660.971313,"1979-08-22"
1665.199951,1669.699951,1661.300049,1662,0,1657.779541,"1979-08-23"
1662,1669.699951,1655.900024,1669.699951,0,1665.459839,"1979-08-24"
1670,1681.300049,1670,1678.699951,0,1674.43689,"1979-08-27"
1678.699951,1679.099976,1674.5,1678.900024,0,1674.636475,"1979-08-28"
1678.900024,1682.099976,1677.300049,1678.5,0,1674.237549,"1979-08-29"
1678.5,1680,1676.099976,1679.699951,0,1675.434326,"1979-08-30"
1682.599976,1695.300049,1682.599976,1695.300049,0,1690.994873,"1979-08-31"
NA,NA,NA,NA,NA,NA,"1979-09-03"
1695.300049,1697.900024,1689.400024,1689.400024,0,1685.109863,"1979-09-04"
1681,1681,1659.400024,1661.800049,0,1657.579956,"1979-09-05"
1667.099976,1696.900024,1667.099976,1694.400024,0,1690.097168,"1979-09-06"
1697.099976,1725.300049,1697.099976,1725.300049,0,1720.918701,"1979-09-07"
1725,1725,1718.599976,1720.900024,0,1716.529907,"1979-09-10"
1720.900024,1726.699951,1715,1715.699951,0,1711.343018,"1979-09-11"
1715.699951,1727.099976,1711.900024,1727.099976,0,1722.713989,"1979-09-12"
1727,1727,1718.5,1719,0,1714.634644,"1979-09-13"
1719.699951,1732.599976,1719.699951,1731.900024,0,1727.501953,"1979-09-14"
1731.900024,1739.099976,1728.900024,1728.900024,0,1724.509521,"1979-09-17"
1726.699951,1726.699951,1718,1719.099976,0,1714.734497,"1979-09-18"
1719.099976,1723.599976,1714.699951,1721.900024,0,1717.527344,"1979-09-19"
1722.300049,1737,1722.300049,1737,0,1732.588989,"1979-09-20"
1738.5,1745.599976,1738.5,1740.900024,0,1736.479004,"1979-09-21"
1740.900024,1742.300049,1735.199951,1735.599976,0,1731.192505,"1979-09-24"
1735.599976,1737.199951,1727.800049,1736.900024,0,1732.489258,"1979-09-25"
1740,1756.699951,1740,1751.199951,0,1746.752808,"1979-09-26"
