"N100.Open","N100.High","N100.Low","N100.Close","N100.Volume","N100.Adjusted","Date"
1000,1000,1000,1000,0,1000,"1999-12-31"
996.77002,996.77002,996.77002,996.77002,0,996.77002,"2000-01-03"
955.969971,955.969971,955.969971,955.969971,0,955.969971,"2000-01-04"
930.26001,930.26001,930.26001,930.26001,0,930.26001,"2000-01-05"
922.460022,922.460022,922.460022,922.460022,0,922.460022,"2000-01-06"
943.880005,943.880005,943.880005,943.880005,0,943.880005,"2000-01-07"
960.219971,960.219971,960.219971,960.219971,0,960.219971,"2000-01-10"
954.059998,954.059998,954.059998,954.059998,0,954.059998,"2000-01-11"
946.830017,946.830017,946.830017,946.830017,0,946.830017,"2000-01-12"
951.820007,951.820007,951.820007,951.820007,0,951.820007,"2000-01-13"
973.859985,973.859985,973.859985,973.859985,0,973.859985,"2000-01-14"
979.960022,979.960022,979.960022,979.960022,0,979.960022,"2000-01-17"
952.590027,952.590027,952.590027,952.590027,0,952.590027,"2000-01-18"
951.26001,951.26001,951.26001,951.26001,0,951.26001,"2000-01-19"
955.409973,955.409973,955.409973,955.409973,0,955.409973,"2000-01-20"
951.51001,951.51001,951.51001,951.51001,0,951.51001,"2000-01-21"
956.609985,956.609985,956.609985,956.609985,0,956.609985,"2000-01-24"
943.880005,943.880005,943.880005,943.880005,0,943.880005,"2000-01-25"
946.200012,946.200012,946.200012,946.200012,0,946.200012,"2000-01-26"
948.150024,948.150024,948.150024,948.150024,0,948.150024,"2000-01-27"
948.210022,948.210022,948.210022,948.210022,0,948.210022,"2000-01-28"
929.859985,929.859985,929.859985,929.859985,0,929.859985,"2000-01-31"
944.77002,944.77002,944.77002,944.77002,0,944.77002,"2000-02-01"
968.609985,968.609985,968.609985,968.609985,0,968.609985,"2000-02-02"
994.140015,994.140015,994.140015,994.140015,0,994.140015,"2000-02-03"
1010.429993,1010.429993,1010.429993,1010.429993,0,1010.429993,"2000-02-04"
1002.400024,1002.400024,1002.400024,1002.400024,0,1002.400024,"2000-02-07"
1022.25,1022.25,1022.25,1022.25,0,1022.25,"2000-02-08"
1016.01001,1016.01001,1016.01001,1016.01001,0,1016.01001,"2000-02-09"
1005.640015,1005.640015,1005.640015,1005.640015,0,1005.640015,"2000-02-10"
1014.169983,1014.169983,1014.169983,1014.169983,0,1014.169983,"2000-02-11"
1006.27002,1006.27002,1006.27002,1006.27002,0,1006.27002,"2000-02-14"
993.869995,993.869995,993.869995,993.869995,0,993.869995,"2000-02-15"
996.409973,996.409973,996.409973,996.409973,0,996.409973,"2000-02-16"
1009.349976,1009.349976,1009.349976,1009.349976,0,1009.349976,"2000-02-17"
992.530029,992.530029,992.530029,992.530029,0,992.530029,"2000-02-18"
978.690002,978.690002,978.690002,978.690002,0,978.690002,"2000-02-21"
976.719971,976.719971,976.719971,976.719971,0,976.719971,"2000-02-22"
983.380005,983.380005,983.380005,983.380005,0,983.380005,"2000-02-23"
988.710022,988.710022,988.710022,988.710022,0,988.710022,"2000-02-24"
1004.719971,1004.719971,1004.719971,1004.719971,0,1004.719971,"2000-02-25"
992.429993,992.429993,992.429993,992.429993,0,992.429993,"2000-02-28"
1007.320007,1007.320007,1007.320007,1007.320007,0,1007.320007,"2000-02-29"
1015.659973,1015.659973,1015.659973,1015.659973,0,1015.659973,"2000-03-01"
1033.599976,1033.599976,1033.599976,1033.599976,0,1033.599976,"2000-03-02"
1042.400024,1042.400024,1042.400024,1042.400024,0,1042.400024,"2000-03-03"
1047.77002,1047.77002,1047.77002,1047.77002,0,1047.77002,"2000-03-06"
1037.98999,1037.98999,1037.98999,1037.98999,0,1037.98999,"2000-03-07"
1032.680054,1032.680054,1032.680054,1032.680054,0,1032.680054,"2000-03-08"
1035.26001,1035.26001,1035.26001,1035.26001,0,1035.26001,"2000-03-09"
1045.27002,1045.27002,1045.27002,1045.27002,0,1045.27002,"2000-03-10"
1017.390015,1017.390015,1017.390015,1017.390015,0,1017.390015,"2000-03-13"
1020.809998,1020.809998,1020.809998,1020.809998,0,1020.809998,"2000-03-14"
998.219971,998.219971,998.219971,998.219971,0,998.219971,"2000-03-15"
1015.47998,1015.47998,1015.47998,1015.47998,0,1015.47998,"2000-03-16"
1022.119995,1022.119995,1022.119995,1022.119995,0,1022.119995,"2000-03-17"
1028.390015,1028.390015,1028.390015,1028.390015,0,1028.390015,"2000-03-20"
1027.630005,1027.630005,1027.630005,1027.630005,0,1027.630005,"2000-03-21"
1027.01001,1027.01001,1027.01001,1027.01001,0,1027.01001,"2000-03-22"
1017.789978,1017.789978,1017.789978,1017.789978,0,1017.789978,"2000-03-23"
1029.660034,1029.660034,1029.660034,1029.660034,0,1029.660034,"2000-03-24"
1035.76001,1035.76001,1035.76001,1035.76001,0,1035.76001,"2000-03-27"
1048.369995,1048.369995,1048.369995,1048.369995,0,1048.369995,"2000-03-28"
1045.72998,1045.72998,1045.72998,1045.72998,0,1045.72998,"2000-03-29"
1023.210022,1023.210022,1023.210022,1023.210022,0,1023.210022,"2000-03-30"
1021.219971,1021.219971,1021.219971,1021.219971,0,1021.219971,"2000-03-31"
998.98999,998.98999,998.98999,998.98999,0,998.98999,"2000-04-03"
1015.679993,1015.679993,1015.679993,1015.679993,0,1015.679993,"2000-04-04"
990.039978,990.039978,990.039978,990.039978,0,990.039978,"2000-04-05"
1017.219971,1017.219971,1017.219971,1017.219971,0,1017.219971,"2000-04-06"
1029.969971,1029.969971,1029.969971,1029.969971,0,1029.969971,"2000-04-07"
1032.01001,1032.01001,1032.01001,1032.01001,0,1032.01001,"2000-04-10"
1017.380005,1017.380005,1017.380005,1017.380005,0,1017.380005,"2000-04-11"
1018.280029,1018.280029,1018.280029,1018.280029,0,1018.280029,"2000-04-12"
1019.73999,1019.73999,1019.73999,1019.73999,0,1019.73999,"2000-04-13"
995.369995,995.369995,995.369995,995.369995,0,995.369995,"2000-04-14"
986.549988,986.549988,986.549988,986.549988,0,986.549988,"2000-04-17"
998.210022,998.210022,998.210022,998.210022,0,998.210022,"2000-04-18"
1004.119995,1004.119995,1004.119995,1004.119995,0,1004.119995,"2000-04-19"
1011.72998,1011.72998,1011.72998,1011.72998,0,1011.72998,"2000-04-20"
1011.72998,1011.72998,1011.72998,1011.72998,0,1011.72998,"2000-04-21"
1011.72998,1011.72998,1011.72998,1011.72998,0,1011.72998,"2000-04-24"
1024.800049,1024.800049,1024.800049,1024.800049,0,1024.800049,"2000-04-25"
1038.599976,1038.599976,1038.599976,1038.599976,0,1038.599976,"2000-04-26"
1018.849976,1018.849976,1018.849976,1018.849976,0,1018.849976,"2000-04-27"
1042.609985,1042.609985,1042.609985,1042.609985,0,1042.609985,"2000-04-28"
1044.660034,1044.660034,1044.660034,1044.660034,0,1044.660034,"2000-05-01"
1062.849976,1062.849976,1062.849976,1062.849976,0,1062.849976,"2000-05-02"
1048.630005,1048.630005,1048.630005,1048.630005,0,1048.630005,"2000-05-03"
1053.48999,1053.48999,1053.48999,1053.48999,0,1053.48999,"2000-05-04"
1062.689941,1062.689941,1062.689941,1062.689941,0,1062.689941,"2000-05-05"
1062.540039,1062.540039,1062.540039,1062.540039,0,1062.540039,"2000-05-08"
1049.310059,1049.310059,1049.310059,1049.310059,0,1049.310059,"2000-05-09"
1035.52002,1035.52002,1035.52002,1035.52002,0,1035.52002,"2000-05-10"
1047.699951,1047.699951,1047.699951,1047.699951,0,1047.699951,"2000-05-11"
1060.589966,1060.589966,1060.589966,1060.589966,0,1060.589966,"2000-05-12"
1055.5,1055.5,1055.5,1055.5,0,1055.5,"2000-05-15"
1075.319946,1075.319946,1075.319946,1075.319946,0,1075.319946,"2000-05-16"
1061.719971,1061.719971,1061.719971,1061.719971,0,1061.719971,"2000-05-17"
1065.089966,1065.089966,1065.089966,1065.089966,0,1065.089966,"2000-05-18"
1033.619995,1033.619995,1033.619995,1033.619995,0,1033.619995,"2000-05-19"
1015.97998,1015.97998,1015.97998,1015.97998,0,1015.97998,"2000-05-22"
1020.309998,1020.309998,1020.309998,1020.309998,0,1020.309998,"2000-05-23"
1001.309998,1001.309998,1001.309998,1001.309998,0,1001.309998,"2000-05-24"
1017.150024,1017.150024,1017.150024,1017.150024,0,1017.150024,"2000-05-25"
1013.340027,1013.340027,1013.340027,1013.340027,0,1013.340027,"2000-05-26"
1027.670044,1027.670044,1027.670044,1027.670044,0,1027.670044,"2000-05-29"
1038.890015,1038.890015,1038.890015,1038.890015,0,1038.890015,"2000-05-30"
1051.25,1051.25,1051.25,1051.25,0,1051.25,"2000-05-31"
1066.030029,1066.030029,1066.030029,1066.030029,0,1066.030029,"2000-06-01"
1086.329956,1086.329956,1086.329956,1086.329956,0,1086.329956,"2000-06-02"
1081.599976,1081.599976,1081.599976,1081.599976,0,1081.599976,"2000-06-05"
1074.180054,1074.180054,1074.180054,1074.180054,0,1074.180054,"2000-06-06"
1064.579956,1064.579956,1064.579956,1064.579956,0,1064.579956,"2000-06-07"
1069.060059,1069.060059,1069.060059,1069.060059,0,1069.060059,"2000-06-08"
1073.290039,1073.290039,1073.290039,1073.290039,0,1073.290039,"2000-06-09"
1073.290039,1073.290039,1073.290039,1073.290039,0,1073.290039,"2000-06-12"
1074.829956,1074.829956,1074.829956,1074.829956,0,1074.829956,"2000-06-13"
1083.5,1083.5,1083.5,1083.5,0,1083.5,"2000-06-14"
1072.670044,1072.670044,1072.670044,1072.670044,0,1072.670044,"2000-06-15"
1068.609985,1068.609985,1068.609985,1068.609985,0,1068.609985,"2000-06-16"
1070.719971,1070.719971,1070.719971,1070.719971,0,1070.719971,"2000-06-19"
1077.579956,1077.579956,1077.579956,1077.579956,0,1077.579956,"2000-06-20"
1074.439941,1074.439941,1074.439941,1074.439941,0,1074.439941,"2000-06-21"
1074.23999,1074.23999,1074.23999,1074.23999,0,1074.23999,"2000-06-22"
1078.400024,1078.400024,1078.400024,1078.400024,0,1078.400024,"2000-06-23"
1083.76001,1083.76001,1083.76001,1083.76001,0,1083.76001,"2000-06-26"
1080.400024,1080.400024,1080.400024,1080.400024,0,1080.400024,"2000-06-27"
1082.790039,1082.790039,1082.790039,1082.790039,0,1082.790039,"2000-06-28"
1054.439941,1054.439941,1054.439941,1054.439941,0,1054.439941,"2000-06-29"
1064.060059,1064.060059,1064.060059,1064.060059,0,1064.060059,"2000-06-30"
1071.790039,1071.790039,1071.790039,1071.790039,0,1071.790039,"2000-07-03"
1073.310059,1073.310059,1073.310059,1073.310059,0,1073.310059,"2000-07-04"
1066.050049,1066.050049,1066.050049,1066.050049,0,1066.050049,"2000-07-05"
1064.050049,1064.050049,1064.050049,1064.050049,0,1064.050049,"2000-07-06"
1079.359985,1079.359985,1079.359985,1079.359985,0,1079.359985,"2000-07-07"
1075.290039,1075.290039,1075.290039,1075.290039,0,1075.290039,"2000-07-10"
1078.319946,1078.319946,1078.319946,1078.319946,0,1078.319946,"2000-07-11"
1085.390015,1085.390015,1085.390015,1085.390015,0,1085.390015,"2000-07-12"
1088.640015,1088.640015,1088.640015,1088.640015,0,1088.640015,"2000-07-13"
1088.099976,1088.099976,1088.099976,1088.099976,0,1088.099976,"2000-07-14"
1093.569946,1093.569946,1093.569946,1093.569946,0,1093.569946,"2000-07-17"
1080.849976,1080.849976,1080.849976,1080.849976,0,1080.849976,"2000-07-18"
1078.01001,1078.01001,1078.01001,1078.01001,0,1078.01001,"2000-07-19"
1085.930054,1085.930054,1085.930054,1085.930054,0,1085.930054,"2000-07-20"
1072.969971,1072.969971,1072.969971,1072.969971,0,1072.969971,"2000-07-21"
1078.969971,1078.969971,1078.969971,1078.969971,0,1078.969971,"2000-07-24"
1075.23999,1075.23999,1075.23999,1075.23999,0,1075.23999,"2000-07-25"
1075.800049,1075.800049,1075.800049,1075.800049,0,1075.800049,"2000-07-26"
1072.930054,1072.930054,1072.930054,1072.930054,0,1072.930054,"2000-07-27"
1062.339966,1062.339966,1062.339966,1062.339966,0,1062.339966,"2000-07-28"
1078.339966,1078.339966,1078.339966,1078.339966,0,1078.339966,"2000-07-31"
1079.050049,1079.050049,1079.050049,1079.050049,0,1079.050049,"2000-08-01"
1081.859985,1081.859985,1081.859985,1081.859985,0,1081.859985,"2000-08-02"
1060.890015,1060.890015,1060.890015,1060.890015,0,1060.890015,"2000-08-03"
1073.109985,1073.109985,1073.109985,1073.109985,0,1073.109985,"2000-08-04"
1083.51001,1083.51001,1083.51001,1083.51001,0,1083.51001,"2000-08-07"
1084.48999,1084.48999,1084.48999,1084.48999,0,1084.48999,"2000-08-08"
1093.579956,1093.579956,1093.579956,1093.579956,0,1093.579956,"2000-08-09"
1093.48999,1093.48999,1093.48999,1093.48999,0,1093.48999,"2000-08-10"
1093,1093,1093,1093,0,1093,"2000-08-11"
1100.810059,1100.810059,1100.810059,1100.810059,0,1100.810059,"2000-08-14"
1105.119995,1105.119995,1105.119995,1105.119995,0,1105.119995,"2000-08-15"
1110.930054,1110.930054,1110.930054,1110.930054,0,1110.930054,"2000-08-16"
1109.869995,1109.869995,1109.869995,1109.869995,0,1109.869995,"2000-08-17"
1110.699951,1110.699951,1110.699951,1110.699951,0,1110.699951,"2000-08-18"
1108.550049,1108.550049,1108.550049,1108.550049,0,1108.550049,"2000-08-21"
1104.930054,1104.930054,1104.930054,1104.930054,0,1104.930054,"2000-08-22"
1104.689941,1104.689941,1104.689941,1104.689941,0,1104.689941,"2000-08-23"
1098.219971,1098.219971,1098.219971,1098.219971,0,1098.219971,"2000-08-24"
1108.849976,1108.849976,1108.849976,1108.849976,0,1108.849976,"2000-08-25"
1113.48999,1113.48999,1113.48999,1113.48999,0,1113.48999,"2000-08-28"
