"MXX.Open","MXX.High","MXX.Low","MXX.Close","MXX.Volume","MXX.Adjusted","Date"
1418.800049,1418.800049,1418.800049,1418.800049,0,1418.800049,"1991-11-08"
1416.900024,1416.900024,1416.900024,1416.900024,0,1416.900024,"1991-11-11"
1445.400024,1445.400024,1445.400024,1445.400024,0,1445.400024,"1991-11-12"
1453.400024,1453.400024,1453.400024,1453.400024,0,1453.400024,"1991-11-13"
1459.300049,1459.300049,1459.300049,1459.300049,0,1459.300049,"1991-11-14"
1445.599976,1445.599976,1445.599976,1445.599976,0,1445.599976,"1991-11-15"
1415.900024,1415.900024,1415.900024,1415.900024,0,1415.900024,"1991-11-18"
1365.099976,1365.099976,1365.099976,1365.099976,0,1365.099976,"1991-11-19"
NA,NA,NA,NA,NA,NA,"1991-11-20"
1387.900024,1387.900024,1387.900024,1387.900024,0,1387.900024,"1991-11-21"
1376.199951,1376.199951,1376.199951,1376.199951,0,1376.199951,"1991-11-22"
NA,NA,NA,NA,NA,NA,"1991-11-25"
1365.199951,1365.199951,1365.199951,1365.199951,0,1365.199951,"1991-11-26"
1371.599976,1371.599976,1371.599976,1371.599976,0,1371.599976,"1991-11-27"
1377.599976,1377.599976,1377.599976,1377.599976,0,1377.599976,"1991-11-28"
1384.199951,1384.199951,1384.199951,1384.199951,0,1384.199951,"1991-11-29"
1375.400024,1375.400024,1375.400024,1375.400024,0,1375.400024,"1991-12-02"
1371.199951,1371.199951,1371.199951,1371.199951,0,1371.199951,"1991-12-03"
1371.300049,1371.300049,1371.300049,1371.300049,0,1371.300049,"1991-12-04"
1361.199951,1361.199951,1361.199951,1361.199951,0,1361.199951,"1991-12-05"
1360.599976,1360.599976,1360.599976,1360.599976,0,1360.599976,"1991-12-06"
1347.099976,1347.099976,1347.099976,1347.099976,0,1347.099976,"1991-12-09"
1304.5,1304.5,1304.5,1304.5,0,1304.5,"1991-12-10"
1273.199951,1273.199951,1273.199951,1273.199951,0,1273.199951,"1991-12-11"
NA,NA,NA,NA,NA,NA,"1991-12-12"
1325.699951,1325.699951,1325.699951,1325.699951,0,1325.699951,"1991-12-13"
1346.800049,1346.800049,1346.800049,1346.800049,0,1346.800049,"1991-12-16"
1347.400024,1347.400024,1347.400024,1347.400024,0,1347.400024,"1991-12-17"
1338.400024,1338.400024,1338.400024,1338.400024,0,1338.400024,"1991-12-18"
1332.900024,1332.900024,1332.900024,1332.900024,0,1332.900024,"1991-12-19"
1337.300049,1337.300049,1337.300049,1337.300049,0,1337.300049,"1991-12-20"
1364.400024,1364.400024,1364.400024,1364.400024,0,1364.400024,"1991-12-23"
NA,NA,NA,NA,NA,NA,"1991-12-24"
NA,NA,NA,NA,NA,NA,"1991-12-25"
NA,NA,NA,NA,NA,NA,"1991-12-26"
NA,NA,NA,NA,NA,NA,"1991-12-27"
1431.5,1431.5,1431.5,1431.5,0,1431.5,"1991-12-30"
NA,NA,NA,NA,NA,NA,"1991-12-31"
NA,NA,NA,NA,NA,NA,"1992-01-01"
1444.900024,1444.900024,1444.900024,1444.900024,0,1444.900024,"1992-01-02"
1475.199951,1475.199951,1475.199951,1475.199951,0,1475.199951,"1992-01-03"
1472.5,1472.5,1472.5,1472.5,0,1472.5,"1992-01-06"
1485.400024,1485.400024,1485.400024,1485.400024,0,1485.400024,"1992-01-07"
1515.699951,1515.699951,1515.699951,1515.699951,0,1515.699951,"1992-01-08"
1529.599976,1529.599976,1529.599976,1529.599976,0,1529.599976,"1992-01-09"
